Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,ReturnToLongTerm,FileRestored
4596744,8607fa3f-c6fb-4dc6-9c91-d5d6d5066fb2,44729139159.wav,a27f7792-5e72-42ee-87e5-2b814b0fd414,Mon Feb 11 2019 23:57:11 GMT+0530 (India Standard Time),Fri Apr 12 2019 23:58:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,20993039-20c1-4163-8ca8-1f9b910d53c4,95295109659.wav,7775677a-0d3a-450d-b3b0-336890c1bcc9,Mon Jul 01 2019 23:17:21 GMT+0530 (India Standard Time),Fri Aug 30 2019 23:17:55 GMT+0530 (India Standard Time),Invalid Date,6,Fri Sep 20 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,0214fa24-8641-4489-a27a-ff4c8fbf2695,95179995149.wav,ba8ea14b-7c3f-4b1e-9a04-388b8be4efcc,Tue Jun 25 2019 02:37:26 GMT+0530 (India Standard Time),Sat Aug 24 2019 02:37:49 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,1137cd71-1b46-4e67-a83c-9788608c4415,95571682797.wav,33aaa1be-63a3-469a-9f1e-633474c57d8c,Tue Jul 16 2019 00:00:25 GMT+0530 (India Standard Time),Sat Sep 14 2019 00:01:53 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,f3866148-21e9-49ea-9487-f2c136a55b96,44728346892.wav,659ac691-da5e-4baf-ba84-7e30a8ff2241,Mon Feb 11 2019 18:56:26 GMT+0530 (India Standard Time),Fri Apr 12 2019 18:57:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,0e74c124-4e42-4826-97c7-273a177a71da,95317691755.wav,1757e01d-5b8b-493e-b405-65f33b203a5a,Tue Jul 02 2019 02:30:11 GMT+0530 (India Standard Time),Sat Aug 31 2019 02:31:55 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,b1c3f644-52f4-432d-8f65-05446a2a70da,44728706619.wav,385b53ef-7cfc-4079-a32a-17c89b9b4d9c,Mon Feb 11 2019 21:43:18 GMT+0530 (India Standard Time),Fri Apr 12 2019 21:44:49 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,4479494a-5863-4bc8-a615-b191c90c50a7,45484634040.wav,f2a98209-ec0a-4801-bec4-021ce784e395,Tue Jul 23 2019 19:33:54 GMT+0530 (India Standard Time),Sat Sep 21 2019 19:35:58 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,c7d55980-cb54-42c6-8368-2eb5cf7a8728,95657365373.wav,12369cbc-b4b3-427d-aae1-99540fb364cc,Fri Jul 19 2019 20:42:28 GMT+0530 (India Standard Time),Tue Sep 17 2019 20:43:56 GMT+0530 (India Standard Time),Invalid Date,6,Wed Oct 02 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,92819875-257d-4546-b2fb-e2a7869b0576,45705148486.wav,05adc5a0-505e-481e-b444-f48f472fb07d,Fri Apr 05 2019 22:45:53 GMT+0530 (India Standard Time),Tue Jun 04 2019 22:46:36 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
