Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored,ReturnToLongTermDate
4597300,fb2b4951-96f8-4e1a-8ab9-61b5c0741eb7,96319479043.wav,ef70bb0a-b80e-4d3b-91e8-a67d1e91dd3e,1566445219524,1567654910131,,6,,1569628800000
4597300,631adc0f-3ba1-4132-9338-a7c0cb991207,95080824161.wav,c915b06e-62a5-4a55-ac6a-2d57f0b36332,1560960166225,1563310065368,,6,,1569628800000
4597300,83524fa3-eb6e-4329-bc12-e654a500c0e1,95102473641.wav,49f4dfe7-814f-4bf2-b51a-93f487c5736b,1561061749922,1563379904621,,6,,1569456000000
4597300,9eb1a45b-a8b0-4bb6-bb5a-950f6b672828,4946822333.wav,e9b58442-9037-4364-8999-63b6b2731515,1542982391965,1549605500048,,6,,1569888000000
4597300,ec00a727-23e6-45a9-94d7-91d6b4f7330b,96436370603.wav,3a3cb5d7-60cf-4688-bb7a-910152b6dac8,1566921744276,1568131438094,,6,,1570233600000
4597300,815c7131-fbaa-449a-aff1-fbf351a67aba,95315785410.wav,afb03fe9-d314-4447-89b7-580d9a2dedb0,1561999150244,1563447827029,,6,,1569456000000
4597300,b982ef00-d659-4e98-b071-311f2d26c6b7,5059096659.wav,fd44e24d-f4fe-4cdd-a6c4-a3a41a81746c,1554398298041,1556990310545,,6,,1569628800000
4597300,665403f1-c072-45f2-8402-5f3647d27859,5124310629.wav,f7b29b7f-0798-428b-a755-70be9535a771,1560530037419,1563467026724,,6,,1570060800000
4597300,d2c986e5-de22-4a57-8e15-0c6aeb43fc38,96500536085.wav,08ec19da-aabb-4366-9e10-4135dd6e5ffe,1567050879197,1568260552492,,6,,1570233600000
4597300,4b602395-3266-47de-8336-bb62b46e26d9,96725704717.wav,b16a6c9c-67ee-4c69-8ad7-c809aceb2bb4,1568130545645,1569340199578,,6,,1570838400000
4597300,6bc42d5c-6013-4e96-a205-c792af46dd91,95999508618.wav,d7ce5ad8-da8b-4b80-88a7-1c0ccf8a50d4,1565036904519,1566246590603,,6,,1568937600000
4597300,83312469-493a-44a8-918e-ab3157a60e76,5064654806.wav,f579e8d6-5c1e-4ad7-ab8e-3e9f1494372a,1554989086781,1557581190528,,6,,1569628800000
4597300,f1011b53-c6f4-4030-b41d-b6a3267fdfc9,5101164170.wav,ca3db870-36e1-4e18-93ab-5c21a73682a6,1558461003373,1561053032673,,6,,1569715200000
4597300,b09dd285-9550-42d3-9f75-47cecda64b1a,96299229210.wav,1bd5f476-2ed4-40c3-a97f-992b67c3a67c,1566353851233,1567563589902,,6,,1569888000000
4597300,7ef0259f-f1c2-42b9-a5c2-9e1f7f8dfe81,96557379349.wav,4f155c97-7db7-465f-8f62-8048779a1e1f,1567526128659,1568735873166,,6,,1569888000000
4597300,08e07068-bd6b-4ef9-a08d-e584b20bee20,96263708547.wav,3fbaf99a-b967-431e-b039-63a2b60c8650,1566174240654,1567383951782,,6,,1570233600000
