Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored
199,79295700-a9b5-4dee-9a77-2345674a7d3f,1014_1129214RENAMED.wav,28c01108-51b7-4958-a332-942bbfcb8740,Wed Feb 14 2018 20:47:34 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:32:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,f02558c9-82f1-4c51-a564-b482767649d2,1129238.wav,b9085047-d95f-4e68-8e5b-cc5780eb0136,Wed Feb 14 2018 20:47:32 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:34:17 GMT+0530 (India Standard Time),Invalid Date,4,
199,b80fe922-7802-4e0e-adad-ac6134695eae,1129240.wav,114d6282-8ffa-4020-9dc1-9d7e7eba44c0,Tue Feb 13 2018 14:59:09 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:32:15 GMT+0530 (India Standard Time),Invalid Date,4,
199,358620c0-648d-4998-8e80-c680ed3bce45,1127619.wav,55143ff0-830f-4270-8edb-0f5967dce905,Wed Feb 14 2018 20:47:26 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:34:17 GMT+0530 (India Standard Time),Invalid Date,4,
199,848f0bf5-84eb-4f88-9ecb-3ef44ded92cc,1129288.wav,f04cb2f6-24bc-4cdb-b862-4ae58b48c4fa,Wed Feb 14 2018 20:16:41 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:23:22 GMT+0530 (India Standard Time),Invalid Date,4,
199,cbf05710-25ba-4f11-bf17-9ea14e6a3a89,1127615.wav,64bcaac7-7fdd-4080-927c-925c262025aa,Wed Feb 14 2018 20:47:32 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:38:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,fadfaaa9-63b8-4938-adf2-8628763a052d,SMSTestCase-2018-02-16_13-42-2963c6b6ad-6daf-4c56-83cf-c390cad3ec9e.wav,1ed2c9da-1c8d-480a-b709-dd97ce58ed05,Fri Feb 16 2018 14:00:59 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:32:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,38a75490-ddbe-45d1-96d5-9b54556c7a6f,1127623.wav,814ba252-f26d-41f5-ba8b-566a091c9d62,Wed Feb 14 2018 20:47:27 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:26:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,de79a9e6-107b-45d6-9597-25d7f834ebbd,SMSTestCase-2018-02-16_13-12-33CallLog-21850000-21851153.wav,72d7b428-8e48-4eba-a816-ef77141b9708,Fri Feb 16 2018 13:13:59 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:23:21 GMT+0530 (India Standard Time),Invalid Date,4,
199,6a1a70d4-d214-4fe1-8810-34cac657d70f,1129280.wav,b37ee26d-a6d3-4b31-9aad-b02e62e1ae2f,Wed Feb 14 2018 11:38:09 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:34:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,41c74a71-04ee-4f6a-a275-9b7a40b694de,SMSTestCase-2018-02-13_10-04-38CallLog-21850000-21857264.wma,a5f31295-c30c-4187-a740-3c54b63b65d0,Tue Feb 13 2018 10:04:41 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:36:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,951bccdc-ed95-4831-9f87-05240c302abe,myfile17.wav,fc19a16d-4c15-4aa3-92fc-52cbd8f56ecf,Wed Feb 14 2018 09:10:57 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:32:15 GMT+0530 (India Standard Time),Invalid Date,4,
199,68e1d34e-4a52-4e24-b4d0-626f401c268e,SMSTestCase-2018-02-16_13-13-1563c6b6ad-6daf-4c56-83cf-c390cad3ec9e.wav,d249b000-b250-4c89-9aab-8d026c04e154,Fri Feb 16 2018 13:13:59 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:38:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,ad659f8b-36e6-401c-afc4-c43dde4ae15c,SMSTestCase-2018-02-16_13-41-49CallLog-21850000-21851153.wav,637995af-7a62-4f34-be69-ef7e4367d85a,Fri Feb 16 2018 14:00:59 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:38:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,5cebb29a-6eeb-40e1-95f9-957c5340145f,1129311.wav,12bdd9d5-90d3-41d1-b144-8f804ef48a55,Fri Feb 16 2018 05:35:58 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:22:15 GMT+0530 (India Standard Time),Invalid Date,4,
199,4a609d81-8696-4f29-9bf0-90be6ba26b8d,1129293.wav,17f5fb66-3e49-4230-a848-4c7fb55c260b,Thu Feb 15 2018 15:31:41 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:32:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,081108e2-3329-4ce6-adc3-8753ba6ea09a,SMSTestCase-2018-02-16_13-12-18CallLog-21850000-21851153.wav,b1a66de2-c6fb-4c9c-9dc7-4ddaf22ced81,Fri Feb 16 2018 13:13:59 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:34:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,8b5e4619-d0f2-421f-9048-ff9a05875938,1129333.wav,b50f1b62-5939-48c2-868b-53134c3218b2,Fri Feb 16 2018 15:15:08 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:26:17 GMT+0530 (India Standard Time),Invalid Date,4,
199,8b1eb15c-6c30-47d0-ae2d-9f9e36ca42fb,1129286.wav,38145271-b1ae-468a-aee8-bc04e19395e5,Wed Feb 14 2018 20:47:26 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:34:16 GMT+0530 (India Standard Time),Invalid Date,4,
